timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1475665941220,10581,getCountries,200,OK,getCountries_Service 6-8,text,true,,82178,10,60,10580,0
1475665951455,466,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-7,text,true,,5216,10,60,466,0
1475665951553,373,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-10,text,true,,5216,10,60,373,0
1475665950985,948,getLanguages,200,OK,getLanguages_Service 4-5,text,true,,10441,10,60,948,0
1475665950985,950,getLanguages,200,OK,getLanguages_Service 4-4,text,true,,10441,10,60,950,0
1475665951115,827,getLanguages,200,OK,getLanguages_Service 4-6,text,true,,10441,10,60,827,0
1475665950553,1391,getCurrencies,200,OK,getCurrencies_Service 3-1,text,true,,698,10,60,1391,0
1475665951019,930,getCountries,200,OK,getCountries_Service 6-4,text,true,,82178,10,60,930,0
1475665951582,580,getCurrencies,200,OK,getCurrencies_Service 3-10,text,true,,698,10,60,580,0
1475665950692,1478,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-2,text,true,,5216,10,60,1478,0
1475665950624,1560,getCountries,200,OK,getCountries_Service 6-1,text,true,,82178,10,60,1560,0
1475665951147,1130,getLanguages,200,OK,getLanguages_Service 4-7,text,true,,10441,10,60,1130,0
1475665951558,733,getLanguages,200,OK,getLanguages_Service 4-8,text,true,,10441,10,60,733,0
1475665951107,1185,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-5,text,true,,5216,10,60,1185,0
1475665951350,948,getAirports,200,OK,getAirport_Service 1-8,text,true,,61244,10,60,948,0
1475665951458,932,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-8,text,true,,5216,10,60,932,0
1475665950767,1626,getLanguages,200,OK,getLanguages_Service 4-2,text,true,,10441,10,60,1626,0
1475665950630,1764,getCurrencies,200,OK,getCurrencies_Service 3-2,text,true,,698,10,60,1764,0
1475665950655,1743,getPassengerTypes,200,OK,getPassengerType_Service 2-1,text,true,,1128,10,60,1743,0
1475665950886,1517,getCurrencies,200,OK,getCurrencies_Service 3-4,text,true,,698,10,60,1517,0
1475665950588,1818,getAirports,200,OK,getAirport_Service 1-1,text,true,,61244,10,60,1818,0
1475665951066,1341,getAirports,200,OK,getAirport_Service 1-5,text,true,,61244,10,60,1341,0
1475665951687,722,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-9,text,true,,5216,10,60,722,0
1475665951457,952,getLanguages,200,OK,getLanguages_Service 4-10,text,true,,10441,10,60,952,0
1475665951589,825,getAirports,200,OK,getAirport_Service 1-10,text,true,,61244,10,60,825,0
1475665951674,840,getPassengerTypes,200,OK,getPassengerType_Service 2-10,text,true,,1128,10,60,840,0
1475665950889,1630,getAirports,200,OK,getAirport_Service 1-3,text,true,,61244,10,60,1630,0
1475665951342,1178,getPassengerTypes,200,OK,getPassengerType_Service 2-9,text,true,,1128,10,60,1178,0
1475665951586,943,getCountries,200,OK,getCountries_Service 6-10,text,true,,82178,10,60,942,0
1475665951784,832,getLanguages,200,OK,getLanguages_Service 4-9,text,true,,10441,10,60,832,0
1475665950799,1820,getLanguages,200,OK,getLanguages_Service 4-3,text,true,,10441,10,60,1820,0
1475665950889,1734,getCurrencies,200,OK,getCurrencies_Service 3-3,text,true,,698,10,60,1734,0
1475665950838,1792,getCountries,200,OK,getCountries_Service 6-3,text,true,,82178,10,60,1792,0
1475665951004,1627,getAirports,200,OK,getAirport_Service 1-4,text,true,,61244,10,60,1627,0
1475665950777,1857,getAirports,200,OK,getAirport_Service 1-2,text,true,,61244,10,60,1856,0
1475665951801,846,getCountries,200,OK,getCountries_Service 6-8,text,true,,82178,10,60,846,0
1475665950989,1735,getPassengerTypes,200,OK,getPassengerType_Service 2-5,text,true,,1128,10,60,1735,0
1475665951227,1499,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-6,text,true,,5216,10,60,1499,0
1475665950985,1749,getCurrencies,200,OK,getCurrencies_Service 3-5,text,true,,698,10,60,1749,0
1475665951690,1049,getAirports,200,OK,getAirport_Service 1-9,text,true,,61244,10,60,1049,0
1475665950989,1751,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-4,text,true,,5216,10,60,1751,0
1475665951694,1053,getCountries,200,OK,getCountries_Service 6-9,text,true,,82178,10,60,1053,0
1475665951580,1162,getAirports,200,OK,getAirport_Service 1-7,text,true,,61244,10,60,1162,0
1475665950690,2147,getLanguages,200,OK,getLanguages_Service 4-1,text,true,,10441,10,60,2147,0
1475665950767,2071,getPassengerTypes,200,OK,getPassengerType_Service 2-3,text,true,,1128,10,60,2071,0
1475665950767,2071,getPassengerTypes,200,OK,getPassengerType_Service 2-2,text,true,,1128,10,60,2071,0
1475665950693,10161,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-1,text,true,,5216,10,60,10161,0
1475665950805,10052,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-3,text,true,,5216,10,60,10052,0
1475665950781,10141,getCountries,200,OK,getCountries_Service 6-2,text,true,,82178,10,60,10141,0
1475665950886,10066,getPassengerTypes,200,OK,getPassengerType_Service 2-4,text,true,,1128,10,60,10066,0
1475665951113,10043,getCurrencies,200,OK,getCurrencies_Service 3-6,text,true,,698,10,60,10043,0
1475665951118,10041,getPassengerTypes,200,OK,getPassengerType_Service 2-6,text,true,,1128,10,60,10041,0
1475665951146,10107,getAirports,200,OK,getAirport_Service 1-6,text,true,,61244,10,60,10107,0
1475665951224,10034,getCurrencies,200,OK,getCurrencies_Service 3-7,text,true,,698,10,60,10034,0
1475665951068,10209,getCountries,200,OK,getCountries_Service 6-5,text,true,,82178,10,60,10209,0
1475665951332,10023,getCurrencies,200,OK,getCurrencies_Service 3-8,text,true,,698,10,60,10023,0
1475665951333,10027,getPassengerTypes,200,OK,getPassengerType_Service 2-7,text,true,,1128,10,60,10027,0
1475665951252,10125,getCountries,200,OK,getCountries_Service 6-7,text,true,,82178,10,60,10125,0
1475665951336,10045,getCurrencies,200,OK,getCurrencies_Service 3-9,text,true,,698,10,60,10045,0
1475665951449,10016,getPassengerTypes,200,OK,getPassengerType_Service 2-8,text,true,,1128,10,60,10016,0
1475665951248,10228,getCountries,200,OK,getCountries_Service 6-6,text,true,,82178,10,60,10228,0
1475665961159,5861,getPassengerTypes,200,OK,getPassengerType_Service 2-6,text,true,,1128,10,60,5861,0
1475665960952,6069,getPassengerTypes,200,OK,getPassengerType_Service 2-4,text,true,,1128,10,60,6069,0
1475665960623,6412,getCountries,200,OK,getCountries_Service 6-1,text,true,,82178,10,60,6412,0
1475665960988,6074,getPassengerTypes,200,OK,getPassengerType_Service 2-5,text,true,,1128,10,60,6074,0
1475665961155,5908,getCurrencies,200,OK,getCurrencies_Service 3-6,text,true,,698,10,60,5908,0
1475665961146,5920,getLanguages,200,OK,getLanguages_Service 4-7,text,true,,10441,10,60,5920,0
1475665961226,5842,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-6,text,true,,5216,10,60,5842,0
1475665960691,6379,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-2,text,true,,5216,10,60,6379,0
1475665961106,5967,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-5,text,true,,5216,10,60,5967,0
1475665961341,5733,getPassengerTypes,200,OK,getPassengerType_Service 2-9,text,true,,1128,10,60,5733,0
1475665961354,5721,getCurrencies,200,OK,getCurrencies_Service 3-8,text,true,,698,10,60,5721,0
1475665961552,5523,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-10,text,true,,5216,10,60,5523,0
1475665960655,6421,getPassengerTypes,200,OK,getPassengerType_Service 2-1,text,true,,1128,10,60,6421,0
1475665961581,5496,getCurrencies,200,OK,getCurrencies_Service 3-10,text,true,,698,10,60,5496,0
1475665961475,5603,getCountries,200,OK,getCountries_Service 6-6,text,true,,82178,10,60,5603,0
